word,x_plot,y_plot,label_size,alpha
acceptable,-0.16090663257566593,-0.31849969371479786,7.0,0.55
amusing,-0.07717263465126241,-0.2595946364971252,7.0,0.55
anxiety,0.21810835073296117,0.14105557066710514,7.0,0.55
bit_bothered,0.09670945653346914,-0.11484131690706013,7.0,0.55
bit_worried,0.08738060866649534,-0.08700439647193108,7.0,0.55
bothered,0.1463690597603592,-0.2217018780891396,7.0,0.55
calm,-0.2071143356882912,0.35512734813002894,11.0,0.9
calmer,-0.2335094855783565,0.21243131444995567,7.0,0.55
calming,-0.24423614498102675,0.4282919257283249,7.0,0.55
comfortable,-0.37393460215662794,0.010955427230244764,7.0,0.55
comforting,-0.2818278972405277,0.04987709534294453,7.444444444444445,0.5888888888888889
confident,-0.1421510474749166,-0.2952843602191645,7.444444444444445,0.5888888888888889
cool,-0.15221904373938985,0.11825208413428127,7.0,0.55
distracted,0.09467258930990773,-0.11500295538460886,7.444444444444445,0.5888888888888889
easier,-0.2616048508462049,-0.09841459542832856,7.0,0.55
effective,-0.08526451581239483,-0.29300076231018474,7.0,0.55
engaged,0.0018936118555444679,-0.2549558580263837,7.888888888888889,0.6277777777777778
excellent,-0.12482647636246777,-0.41302219337881024,7.0,0.55
extremely_nervous,0.20663147088222408,-0.0763828087038356,7.0,0.55
fine,-0.01085695240166467,-0.24961888042356928,7.0,0.55
good,-0.17530454275104512,-0.35174873389952416,10.11111111111111,0.8222222222222222
happy,-0.16911645350151602,-0.018862146373527663,7.0,0.55
helpful,-0.13407750312533798,-0.278366633724075,7.444444444444445,0.5888888888888889
interesting,-0.01881262524438977,-0.20054743347391157,7.444444444444445,0.5888888888888889
less_anxious,-0.02979948731809761,-0.02662923024158695,7.444444444444445,0.5888888888888889
like,-0.21755312344119904,-0.3518969013173366,7.0,0.55
liked,-0.21755312344119904,-0.2999353770902703,7.888888888888889,0.6277777777777778
monotonous,-0.009554131120096641,0.1055384523623415,7.0,0.55
nervous,0.16189280248565494,0.014393303177804156,7.888888888888889,0.6277777777777778
peaceful,-0.2468222582771388,0.13608860235927006,7.444444444444445,0.5888888888888889
perfect,-0.16657196363940963,-0.3381147595444274,7.0,0.55
pleasant,-0.27480165077934127,0.049931451020774203,7.888888888888889,0.6277777777777778
positive,-0.10805296342881626,-0.2515150433460567,7.444444444444445,0.5888888888888889
relax,-0.3062512460868594,0.27363282014068263,7.888888888888889,0.6277777777777778
relaxed,-0.340588967978229,0.24800162544926363,8.777777777777779,0.7055555555555556
relaxing,-0.3161567507190547,0.3185325105138206,10.555555555555555,0.8611111111111112
repetitive,-0.07908695091041718,-0.061531250411592076,7.0,0.55
serene,-0.19552323514207748,0.046919918444405094,7.0,0.55
some_anxiety,0.19547763054139142,0.10966555753208301,7.0,0.55
tiresome,0.06898461828302968,0.061186408880179094,7.0,0.55
trust,-0.1251291012625006,-0.23583130185943216,7.0,0.55
tune_out,-0.1123483317429071,0.05709649220032519,8.333333333333334,0.6666666666666667
useful,-0.13416109261797965,-0.2893930005775155,7.0,0.55
valuable,-0.018559199765741826,-0.2033868063061121,7.0,0.55
very relaxing,-0.30999099380702,0.08826019653951488,7.0,0.55
very_nervous,0.1444493379565318,-0.10775763563682267,7.444444444444445,0.5888888888888889
zen,-0.0759609218325347,-0.10828190511889511,7.0,0.55
